,Date,DateFloat,FutureValue
0,2019-04-18 20:07:00.165175,1.555618020165175e+18,80.31637791118573
1,2019-04-19 20:07:00.165175,1.555704420165175e+18,80.31667464929308
2,2019-04-20 20:07:00.165175,1.555790820165175e+18,80.31697138740044
3,2019-04-21 20:07:00.165175,1.555877220165175e+18,80.3172681255078
4,2019-04-22 20:07:00.165175,1.555963620165175e+18,80.31756486361516
5,2019-04-23 20:07:00.165175,1.556050020165175e+18,80.31786160172251
6,2019-04-24 20:07:00.165175,1.556136420165175e+18,80.31815833982988
7,2019-04-25 20:07:00.165175,1.556222820165175e+18,80.31845507793723
8,2019-04-26 20:07:00.165175,1.556309220165175e+18,80.3187518160446
9,2019-04-27 20:07:00.165175,1.556395620165175e+18,80.31904855415195
10,2019-04-28 20:07:00.165175,1.556482020165175e+18,80.31934529225931
11,2019-04-29 20:07:00.165175,1.556568420165175e+18,80.31964203036667
12,2019-04-30 20:07:00.165175,1.556654820165175e+18,80.31993876847403
13,2019-05-01 20:07:00.165175,1.556741220165175e+18,80.32023550658138
14,2019-05-02 20:07:00.165175,1.556827620165175e+18,80.32053224468875
15,2019-05-03 20:07:00.165175,1.556914020165175e+18,80.3208289827961
16,2019-05-04 20:07:00.165175,1.557000420165175e+18,80.32112572090347
17,2019-05-05 20:07:00.165175,1.557086820165175e+18,80.32142245901082
18,2019-05-06 20:07:00.165175,1.557173220165175e+18,80.32171919711818
19,2019-05-07 20:07:00.165175,1.557259620165175e+18,80.32201593522554
